"Year","Wicket","Date","Total","Undefeated","Bat1","Bat1Score","Bat1NotOut","Bat2","Bat2Score","Bat2NotOut","Opp"
1971,10,1971-05-09 00:00:00,18,1,"murs",10,1,"worf",9,1,"Molesey Hurst"
1972,1,1972-08-05 00:00:00,124,0,"camr",113,1,"ardc",57,0,"Surey Grove"
1972,1,1972-08-12 00:00:00,119,0,"camr",70,0,"fart",60,0,"Church Commissioners"
1972,1,1972-09-16 00:00:00,75,0,"sewp",60,0,"fart",28,0,"Staines Withygate"
1972,2,1972-08-27 00:00:00,67,0,"vign",82,0,"oxls",27,0,"Blake"
1972,3,1972-08-05 00:00:00,73,0,"camr",113,1,"howv",52,0,"Surrey Grove"
1972,4,1972-06-10 00:00:00,78,0,"pint",61,0,"howv",47,0,"South Wimbledon"
1972,5,1972-09-03 00:00:00,64,0,"sewp",44,0,"redd",42,0,"Granville"
1972,6,1972-09-23 00:00:00,33,0,"camr",61,0,"oxls",12,0,"Buckingham"
1972,7,1972-06-24 00:00:00,58,0,"howv",58,0,"bale",16,0,"Sunbury V"
1972,8,1972-05-14 00:00:00,56,0,"sewp",51,0,"solw",15,0,"Molesey Hurst"
1972,9,1972-05-06 00:00:00,24,1,"wort",25,1,"nibk",5,1,"Sanderstead"
1972,10,1972-07-09 00:00:00,23,1,"murs",50,1,"sewa",2,1,"Staines Withygate"
1973,1,1973-06-16 00:00:00,107,1,"camr",42,1,"onlg",41,1,"Old Emanuel"
1973,2,1973-07-14 00:00:00,60,0,"camr",40,0,"oxls",22,0,"Morden Spartans"
1973,3,1973-09-12 00:00:00,56,0,"fart",34,0,"shaa",33,0,"Sutton Police"
1973,4,1973-07-14 00:00:00,82,0,"pint",72,1,"sewd",20,0,"Morden Spartans"
1973,4,1973-09-15 00:00:00,102,0,"ardc",58,0,"pint",53,0,"Staines Withygate"
1973,5,1973-07-28 00:00:00,180,0,"pint",136,1,"oxls",50,0,"Chiswick H'lds"
1973,6,1973-07-01 00:00:00,50,0,"sewd",33,1,"murs",30,0,"University Vandals"
1973,7,1973-08-19 00:00:00,61,1,"onlg",45,1,"worf",30,1,"Croydon"
1973,8,1973-08-26 00:00:00,35,0,"coop",43,0,"worf",12,0,"Wimbledon United"
1973,9,1973-06-23 00:00:00,40,1,"shep",40,1,"sewa",10,1,"Old Emanuel"
1973,10,1973-09-09 00:00:00,43,0,"fart",48,0,"brid",31,1,"Raynes Park Res"
1974,1,1974-06-01 00:00:00,95,0,"pint",94,1,"sewp",30,0,"Petersham"
1974,2,1974-09-21 00:00:00,82,0,"pint",65,1,"camr",27,0,"Buckingham"
1974,3,1974-06-15 00:00:00,80,1,"pint",43,1,"sewp",43,1,"Zephyr"
1974,3,1974-08-03 00:00:00,95,0,"camr",101,0,"howv",49,0,"Surrey Grove"
1974,4,1974-08-03 00:00:00,107,0,"camr",101,0,"pint",42,1,"Surrey Grove"
1974,5,1974-07-31 00:00:00,67,0,"howv",46,1,"shep",29,0,"Sutton Police"
1974,6,1974-04-27 00:00:00,62,0,"worf",53,1,"tijr",29,0,"Peckham Rye"
1974,7,1974-06-16 00:00:00,26,0,"coop",22,0,"oxls",19,0,"South Harrow"
1974,8,1974-04-28 00:00:00,35,1,"redd",26,1,"cooa",14,1,"Guardian Royal"
1974,9,1974-05-05 00:00:00,16,0,"ardc",15,1,"knid",4,0,"City of London C"
1974,10,1974-06-16 00:00:00,18,0,"tijm",13,1,"wort",8,0,"South Harrow"
1975,1,1975-08-03 00:00:00,97,0,"shaa",80,0,"coop",48,0,"Whyteleaf"
1975,1,1975-09-10 00:00:00,82,0,"vign",46,0,"leer",35,0,"Sutton Police"
1975,2,1975-06-14 00:00:00,141,0,"howv",100,0,"onlg",44,0,"Zephyr"
1975,3,1975-07-06 00:00:00,85,0,"howv",67,0,"vign",52,0,"Gents of Hampstead"
1975,4,1975-07-06 00:00:00,46,0,"howv",67,0,"coop",15,0,"Gents of Hampstead"
1975,4,1975-08-02 00:00:00,46,0,"camr",46,0,"howv",28,1,"Morden"
1975,5,1975-08-30 00:00:00,123,0,"howv",72,0,"brid",54,0,"Park Hill"
1975,6,1975-06-08 00:00:00,36,0,"shaa",26,0,"worf",21,0,"Kingswood"
1975,6,1975-09-13 00:00:00,36,0,"shaa",54,0,"brid",15,0,"Staines Withygate"
1975,7,1975-06-13 00:00:00,81,0,"worf",55,0,"gwip",29,0,"Courage"
1975,8,1975-09-20 00:00:00,112,1,"howv",80,1,"worf",32,1,"Buckingham"
1975,9,1975-07-09 00:00:00,29,0,"worf",20,1,"wort",13,0,"S Suburban Coop"
1975,10,1975-06-29 00:00:00,13,0,"onls",9,0,"wort",4,1,"University Vandals"
1975,11,1975-09-07 00:00:00,2,0,"mouc",2,0,"redd",0,1,"Exel"
1976,1,1976-07-18 00:00:00,111,0,"gwip",60,0,"fart",46,0,"Farewake Wdrs"
1976,1,1976-07-24 00:00:00,110,0,"shaa",56,0,"sewp",55,0,"Griffin"
1976,1,1976-08-08 00:00:00,75,0,"shaa",43,0,"sewp",37,1,"Exel"
1976,1,1976-09-05 00:00:00,77,0,"fart",52,0,"coop",43,0,"Kingston W"
1976,2,1976-06-13 00:00:00,85,0,"shaa",48,0,"fart",38,0,"South Harrow"
1976,2,1976-09-18 00:00:00,78,0,"coop",55,0,"howv",34,0,"Buckingham"
1976,3,1976-05-02 00:00:00,78,0,"sanj",89,0,"murs",19,0,"City of London"
1976,3,1976-07-04 00:00:00,91,0,"sanj",70,1,"vign",43,0,"Gents of Hampstead"
1976,4,1976-05-01 00:00:00,85,0,"howv",65,0,"masd",36,0,"Wallington Old Foresters"
